gender,birth,marriage,religion,income,code_job,code_region
2,1943,2,1,9999,NA,1
1,1932,1,1,9999,NA,1
2,1938,1,1,9999,NA,1
1,1969,5,1,9999,NA,1
2,1930,2,2,9999,NA,1
2,1953,3,1,9999,NA,2
2,1983,1,2,9999,NA,2
2,2013,0,2,9999,NA,2
1,1978,1,2,280,892,2
1,2010,0,2,9999,NA,2
1,1965,1,2,500,235,1
2,1974,1,2,218.3,313,1
2,2004,0,2,9999,NA,1
2,2006,0,2,9999,NA,1
1,1969,1,2,503,311,2
2,1973,1,1,465,252,2
2,2000,0,2,9999,NA,2
1,2003,0,2,9999,NA,2
2,1943,3,2,76.1,941,1
1,1969,1,2,531,411,1
2,1972,1,2,140,259,1
2,2000,0,1,9999,NA,1
2,2002,0,1,9999,NA,1
1,1975,1,2,365.5,852,1
2,1976,1,2,9999,NA,1
1,2004,0,2,9999,NA,1
1,2009,0,2,9999,NA,1
2,1939,2,1,9999,NA,1
1,1969,5,1,9999,NA,1
1,1956,1,2,9999,NA,1
2,1958,1,1,9999,NA,1
2,1963,5,2,9999,NA,1
2,1989,5,2,9999,NA,1
1,1948,1,1,9999,873,1
2,1954,1,1,9999,NA,1
2,1979,1,2,9999,NA,1
1,1979,1,2,286.16,873,1
2,2011,0,2,9999,NA,1
1,2013,0,2,9999,NA,1
1,1957,1,1,9999,773,1
2,1955,1,1,9999,NA,1
1,1968,1,2,520.8,871,1
2,1971,1,2,9999,NA,1
1,1999,0,2,9999,NA,1
1,1958,2,1,9999,773,1
2,1990,5,1,9999,NA,1
1,1993,5,1,9999,NA,1
1,1955,1,2,417,141,1
2,1962,1,2,167,391,1
2,1986,5,2,9999,NA,1
1,1990,5,2,9999,NA,1
2,1950,5,2,9999,NA,1
2,1930,2,1,9999,NA,1
1,1933,1,1,9999,NA,1
2,1939,1,1,9999,NA,1
1,1965,5,1,9999,NA,1
2,1940,2,1,9999,NA,1
1,1942,3,1,9999,941,1
1,1975,1,2,393.2,510,1
2,1980,1,2,9999,NA,1
1,2007,0,2,9999,NA,1
2,2009,0,2,9999,NA,1
1,1952,1,1,9999,NA,1
2,1960,1,1,9999,NA,1
2,1982,1,1,165.6,892,1
1,1984,5,1,9999,NA,1
1,1935,1,2,9999,NA,1
2,1942,1,1,9999,NA,1
1,1973,1,1,9999,773,1
2,1976,1,1,9999,NA,1
1,1935,1,2,9999,620,1
2,1941,1,2,9999,NA,1
1,1926,2,2,9999,NA,1
1,1949,1,1,100,942,1
2,1955,1,1,123.8,930,1
2,1990,5,1,222.5,312,1
1,1937,1,1,9999,NA,1
2,1936,1,1,9999,NA,1
2,1988,5,2,9999,521,2
2,1990,5,1,212,521,2
2,1992,5,1,183,312,2
1,1954,1,2,185,941,2
2,1960,1,1,9999,951,2
2,1934,2,1,9999,NA,1
1,1963,5,1,9999,NA,1
1,1968,5,2,9999,773,1
2,1945,2,2,9999,NA,1
2,1991,5,1,135,313,1
1,1993,5,1,9999,NA,1
1,1970,5,2,9999,NA,1
1,1970,5,2,9999,NA,1
1,1975,1,1,350.6,231,1
2,1968,1,1,9999,274,1
2,2005,0,1,9999,NA,1
2,2007,0,1,9999,NA,1
2,1971,5,2,340,131,1
1,1946,1,1,9999,823,1
2,1951,1,1,9999,999,1
2,1979,1,1,375,311,1
1,1978,1,1,405.8,311,1
2,2007,0,1,9999,NA,1
1,2010,0,1,9999,NA,1
1,1945,1,1,9999,NA,1
2,1951,1,1,9999,NA,1
1,1982,1,1,9999,135,1
2,1990,1,1,162,313,1
1,1967,1,2,202,151,1
2,1970,1,2,93,521,1
1,1995,5,2,9999,NA,1
2,1999,0,2,9999,NA,1
2,1933,2,1,9999,NA,2
1,1947,1,1,9999,910,1
2,1942,1,1,9999,NA,1
1,1993,5,2,9999,NA,1
2,1995,5,2,132.5,313,1
2,1942,2,1,9999,NA,1
1,1961,5,2,9999,772,1
1,1932,1,2,9999,NA,1
2,1939,1,2,9999,NA,1
2,1978,5,2,175,313,1
1,1983,5,1,150,761,1
1,1949,3,1,9999,NA,1
2,1927,2,1,9999,NA,1
1,1945,1,2,9999,NA,1
2,1951,1,1,9999,NA,1
2,1965,3,2,186.8,441,1
2,1986,5,2,150,286,1
1,1969,1,2,9999,772,1
2,1930,2,2,9999,NA,1
2,1992,1,2,9999,NA,1
2,2014,0,2,9999,NA,1
1,1945,1,2,9999,NA,1
2,1949,1,2,9999,NA,1
1,1968,1,2,9999,254,2
2,1969,1,2,9999,254,2
1,1997,0,2,9999,NA,2
1,1959,1,1,269,873,2
2,1960,1,1,30.8,941,2
2,1986,1,2,9999,NA,2
1,1980,1,2,407,431,2
2,1964,3,1,164.7,521,1
1,1962,1,1,150,259,1
2,1965,1,1,9999,NA,1
2,1991,5,1,9999,NA,1
1,1994,5,1,9999,NA,1
1,1935,3,1,9999,NA,1
1,1956,1,1,9999,930,1
2,1959,1,1,9999,930,1
2,1993,5,1,120,710,1
1,1988,5,1,275,399,1
1,1965,1,2,9999,811,1
2,1965,1,2,9999,811,1
2,1992,5,2,9999,NA,1
2,1996,5,2,9999,NA,1
1,1964,1,1,375.1,312,1
2,1966,1,1,120,421,1
1,1990,5,1,9999,930,1
2,1997,0,1,9999,NA,1
2,1953,3,1,9999,NA,1
1,1951,3,2,9999,NA,1
2,1980,5,2,333,510,1
